tipo,modulo,simbolo_contrato,assinatura_campos,linha,confianca,consumo_relacao
cli-command,forja_calibra_monetario.py,<global>,"--raiz, --saida",168,EXTRACTED,accepts_option
function,forja_canario_catraca.py,catracas,(suites: list[str] | None = <default>) -> list[dict],57,EXTRACTED,defines
function,forja_canario_catraca.py,_aperta,(entrada: dict) -> dict,91,EXTRACTED,defines
function,forja_canario_catraca.py,canario,(suites: list[str] | None = <default>) -> dict,113,EXTRACTED,defines
function,forja_canario_catraca.py,_relatar,(laudo: dict) -> None,136,EXTRACTED,defines
cli-command,forja_canario_catraca.py,<global>,"--json, --suite",166,EXTRACTED,accepts_option
function,forja_canario_mutacao.py,_muta_texto,"(texto: str, modo: str) -> str",84,EXTRACTED,defines
function,forja_canario_mutacao.py,_muta,"(dados, modo: str)",95,EXTRACTED,defines
function,forja_canario_mutacao.py,_vereditos,"(pasta: Path, resultado: dict) -> dict",122,EXTRACTED,defines
function,forja_canario_mutacao.py,_tentativas,(base: Path) -> list,132,EXTRACTED,defines
function,forja_canario_mutacao.py,_muta_arquivo,"(arquivo: Path, modo: str) -> None",139,EXTRACTED,defines
function,forja_canario_mutacao.py,_internaliza_externos,"(pasta: Path, espelho: Path, resultado: dict, modo: str) -> dict",156,EXTRACTED,defines
function,forja_canario_mutacao.py,canario,"(raiz = <default>, mutacoes = <default>, limite_por_gate: int = <default>) -> dict",207,EXTRACTED,defines
function,forja_canario_mutacao.py,_relatar,(laudo: dict) -> None,299,EXTRACTED,defines
cli-command,forja_canario_mutacao.py,<global>,"--json, --limite",330,EXTRACTED,accepts_option
function,forja_case_tests.py,suite_hash,(payload: dict) -> str,19,EXTRACTED,defines
function,forja_case_tests.py,_parse_aware_iso,(value: object) -> datetime | None,37,EXTRACTED,defines
function,forja_case_tests.py,validate_suite,(payload: dict) -> list[dict],48,EXTRACTED,defines
function,forja_case_tests.py,_deterministic,"(test: dict, text: str) -> tuple[str, str]",89,EXTRACTED,defines
function,forja_case_tests.py,run_suite,"(suite: dict, draft_path: Path, *, reviewer_run_id: str, producer_run_id: str | None = <default>) -> dict",109,EXTRACTED,defines
function,forja_case_tests.py,validate_results,"(payload: dict, suite: dict | None = <default>, draft_path: Path | None = <default>) -> list[dict]",162,EXTRACTED,defines
function,forja_case_tests.py,main,() -> None,192,EXTRACTED,defines
cli-command,forja_case_tests.py,<global>,"case, draft, --reviewer-run-id, --producer-run-id, --output",194,EXTRACTED,accepts_option
function,forja_citations.py,tribunal_numero_cnj,(value),52,EXTRACTED,defines
function,forja_citations.py,texto_da_peca,(path),56,EXTRACTED,defines
function,forja_citations.py,normalizar_numero,(n),76,EXTRACTED,defines
function,forja_citations.py,url_oficial,"(tipo, dados)",80,EXTRACTED,defines
function,forja_citations.py,extrair_citacoes,(texto),115,EXTRACTED,defines
function,forja_citations.py,procurar_cache_oficial,"(citacao, *, require_live = <default>)",119,EXTRACTED,defines
function,forja_citations.py,normalizar_aspa,(texto),167,EXTRACTED,defines
function,forja_citations.py,conferir_aspas,"(texto_peca, arquivo_fonte)",172,EXTRACTED,defines
function,forja_citations.py,procurar_fonte_local,"(citacao, pasta_caso)",196,EXTRACTED,defines
function,forja_citations.py,merge_by_id,"(existing, new_items)",225,EXTRACTED,defines
function,forja_citations.py,append_unique,"(existing, value)",239,EXTRACTED,defines
function,forja_citations.py,processar,"(case_key, peca_path)",246,EXTRACTED,defines
function,forja_citations.py,_chave_autoridade,(identidade),351,EXTRACTED,defines
function,forja_citations.py,_indice_do_ledger,(ledger),368,EXTRACTED,defines
function,forja_citations.py,validar_politica_citacoes,"(texto, ledger)",415,EXTRACTED,defines
function,forja_citations.py,_normalizar_tribunal,(bruto),513,EXTRACTED,defines
function,forja_citations.py,validar_identidade_citacoes,"(texto, ledger = <default>)",517,EXTRACTED,defines
function,forja_citations.py,main,(),575,EXTRACTED,defines
function,forja_claim_binding.py,_entries,(payload: dict) -> list[dict],18,EXTRACTED,defines
function,forja_claim_binding.py,bind_claims,"(markdown_path: Path, ledger_path: Path, output_path: Path) -> dict",26,EXTRACTED,defines
function,forja_claim_binding.py,main,() -> int,91,EXTRACTED,defines
cli-command,forja_claim_binding.py,<global>,"markdown, ledger, output",93,EXTRACTED,accepts_option
function,forja_close_cycle.py,_canonical_manifest,"(case_dir: Path, expected_revision: int) -> tuple[dict, dict]",15,EXTRACTED,defines
function,forja_close_cycle.py,create_package,"(case_dir: Path, definition: Path, *, expected_revision: int) -> dict",43,EXTRACTED,defines
function,forja_close_cycle.py,register_draft,"(case_dir: Path, receipt_path: Path, *, expected_revision: int) -> dict",80,EXTRACTED,defines
function,forja_close_cycle.py,confirm_delivery,"(case_dir: Path, evidence_path: Path, *, expected_revision: int) -> dict",131,EXTRACTED,defines
function,forja_close_cycle.py,fulfill,"(case_dir: Path, *, expected_revision: int) -> dict",171,EXTRACTED,defines
function,forja_close_cycle.py,main,() -> None,214,EXTRACTED,defines
cli-command,forja_close_cycle.py,<global>,case,216,EXTRACTED,accepts_option
cli-command,forja_close_cycle.py,confirm-delivery,"evidence, --expected-revision",224,EXTRACTED,accepts_option
cli-command,forja_close_cycle.py,fulfill,--expected-revision,227,EXTRACTED,accepts_option
cli-command,forja_close_cycle.py,package,"definition, --expected-revision",218,EXTRACTED,accepts_option
cli-command,forja_close_cycle.py,register-draft,"receipt, --expected-revision",221,EXTRACTED,accepts_option
function,forja_conselho.py,_ler,(caminho: Path | None) -> str | None,53,EXTRACTED,defines
function,forja_conselho.py,_achados_parecer,"(persona: str, caminho: Path | None) -> list[dict]",62,EXTRACTED,defines
function,forja_conselho.py,_linhas_de_decisao,(texto: str) -> list[list[str]],92,EXTRACTED,defines
function,forja_conselho.py,_achados_decisoes_json,(texto: str) -> list[dict] | None,111,EXTRACTED,defines
function,forja_conselho.py,_achados_decisoes,(caminho: Path | None) -> list[dict],189,EXTRACTED,defines
function,forja_conselho.py,validar_conselho,"(*, helena: Path | None, cicero: Path | None, decisoes: Path | None) -> dict",229,EXTRACTED,defines
function,forja_conselho.py,main,(argv: list[str]) -> int,252,EXTRACTED,defines
function,forja_consistency.py,inspect_physical_document,"(*, docx_path: Path, pdf_path: Path, f8_path: Path, layout_profile_id: str, expected_docx_hash: str | None = <default>, expected_pdf_hash: str | None = <default>) -> dict",17,EXTRACTED,defines
function,forja_consistency.py,validate_event_identity,(payload: dict) -> list[dict],80,EXTRACTED,defines
function,forja_consistency.py,validate_comparison,(payload: dict) -> list[dict],99,EXTRACTED,defines
function,forja_consistency.py,validate_intertemporal,(payload: dict) -> list[dict],116,EXTRACTED,defines
function,forja_consistency.py,_eval_formula,"(formula: str, values: dict[str, float]) -> float",133,EXTRACTED,defines
function,forja_consistency.py,validate_quantification,(payload: dict) -> list[dict],147,EXTRACTED,defines
function,forja_consistency.py,validate_delivery,(payload: dict) -> list[dict],185,EXTRACTED,defines
function,forja_consistency.py,validate_global,(payload: dict) -> list[dict],206,EXTRACTED,defines
function,forja_consistency.py,validate_case,(case_dir: Path) -> dict,244,EXTRACTED,defines
function,forja_consistency.py,main,() -> None,252,EXTRACTED,defines
cli-command,forja_consistency.py,<global>,case,254,EXTRACTED,accepts_option
function,forja_context.py,_norm,(text: str) -> str,18,EXTRACTED,defines
function,forja_context.py,markdown_blocks,(text: str) -> list[dict],22,EXTRACTED,defines
function,forja_context.py,validate_document_index,(index_payload: dict) -> list[dict],97,EXTRACTED,defines
function,forja_context.py,_covered_pages,"(entry: dict, page_count: int) -> set[int]",119,EXTRACTED,defines
function,forja_context.py,validate_coverage,"(index_payload: dict, coverage_payload: dict) -> list[dict]",138,EXTRACTED,defines
function,forja_context.py,validate_fact_ledger,"(fact_payload: dict, source_ids: Iterable[str]) -> list[dict]",167,EXTRACTED,defines
function,forja_context.py,validate_paragraph_provenance,"(markdown_text: str, provenance_payload: dict, fact_payload: dict, proposition_payload: dict) -> tuple[list[dict], list[dict]]",194,EXTRACTED,defines
function,forja_context.py,validate_context,(case_dir: Path) -> dict,228,EXTRACTED,defines
function,forja_context.py,main,() -> None,294,EXTRACTED,defines
cli-command,forja_context.py,<global>,case_dir,296,EXTRACTED,accepts_option
function,forja_contexto.py,_hashes_do_texto,(texto: str) -> set,47,EXTRACTED,defines
function,forja_contexto.py,_declarado_bool,"(*fontes, chaves)",53,EXTRACTED,defines
function,forja_contexto.py,_pendencias,(*fontes) -> list,77,EXTRACTED,defines
function,forja_contexto.py,_liberacao_externa,(*fontes),91,EXTRACTED,defines
function,forja_contexto.py,validar_contexto,"(validacao, gate_result = <default>, texto_auditado = <default>)",101,EXTRACTED,defines
function,forja_delivery.py,achar,"(pasta, padroes)",30,EXTRACTED,defines
function,forja_delivery.py,ref_ok,"(ref, allow_text = <default>)",38,EXTRACTED,defines
function,forja_delivery.py,ref_text,(ref),52,EXTRACTED,defines
function,forja_delivery.py,append_unique,"(existing, value)",58,EXTRACTED,defines
function,forja_delivery.py,f7_com_lastro,(f7),65,EXTRACTED,defines
function,forja_delivery.py,f5_checklist_ok,(path),112,EXTRACTED,defines
function,forja_delivery.py,parecer_valido,(path),129,EXTRACTED,defines
function,forja_delivery.py,_parse_iso,(texto),155,EXTRACTED,defines
function,forja_delivery.py,parecer_antes_da_redacao,"(parecer, state)",162,EXTRACTED,defines
function,forja_delivery.py,visual_com_lastro,(docx),186,EXTRACTED,defines
function,forja_delivery.py,f3_com_regimento,(path),216,EXTRACTED,defines
function,forja_delivery.py,main,(case_key),229,EXTRACTED,defines
function,forja_delivery_integrity.py,_attachment,"(package: dict, artifact_id: str) -> dict",15,EXTRACTED,defines
function,forja_delivery_integrity.py,select,"(case_dir: Path, artifact_id: str, *, layout_profile_id: str, producer_run_id: str, reviewer_run_id: str) -> dict",29,EXTRACTED,defines
function,forja_delivery_integrity.py,confirm,"(case_dir: Path, *, mode: str, delivery_evidence_id: str | None, delivered_path: Path | None, producer_run_id: str, reviewer_run_id: str, delivered_at: str | None = <default>) -> dict",70,EXTRACTED,defines
function,forja_delivery_integrity.py,main,() -> None,129,EXTRACTED,defines
cli-command,forja_delivery_integrity.py,<global>,case,131,EXTRACTED,accepts_option
cli-command,forja_delivery_integrity.py,confirm,"--mode, --delivery-evidence-id, --delivered-path, --delivered-at, --producer-run-id, --reviewer-run-id",138,EXTRACTED,accepts_option
cli-command,forja_delivery_integrity.py,select,"artifact_id, --layout-profile-id, --producer-run-id, --reviewer-run-id",133,EXTRACTED,accepts_option
function,forja_diabob.py,red_team,"(alvo: str, *, modelo: str = <default>, max_tokens: int = <default>, orcamento: fm.Orcamento | None = <default>, caso: str | None = <default>) -> dict",55,EXTRACTED,defines
function,forja_diabob.py,main,() -> None,75,EXTRACTED,defines
cli-command,forja_diabob.py,<global>,"--arquivo, --texto, --modelo, --caso, --json",77,EXTRACTED,accepts_option
function,forja_diff_docx.py,extrair_paragrafos_docx,(caminho_docx),24,EXTRACTED,defines
function,forja_diff_docx.py,similaridade_ratio,"(s1, s2)",50,EXTRACTED,defines
function,forja_diff_docx.py,classificar_mudanca,"(texto_nosso, texto_protocolado)",58,EXTRACTED,defines
function,forja_diff_docx.py,gerar_diff_markdown,"(paragrafos_nosso, paragrafos_protocolado, saida_path = <default>)",90,EXTRACTED,defines
function,forja_diff_docx.py,main,(),231,EXTRACTED,defines
class,forja_document_compare.py,Unit,(),48,EXTRACTED,defines
class,forja_document_compare.py,Extracted,(),55,EXTRACTED,defines
method,forja_document_compare.py,Extracted.visible_text,(self) -> str,65,EXTRACTED,defines
function,forja_document_compare.py,_normalized_text,(value: str) -> str,69,EXTRACTED,defines
function,forja_document_compare.py,_is_protocol_noise,(value: str) -> bool,77,EXTRACTED,defines
function,forja_document_compare.py,comparable_units,"(units: Iterable[Unit], *, cross_format: bool = <default>) -> list[Unit]",81,EXTRACTED,defines
function,forja_document_compare.py,_paragraph_text,"(element: ET.Element) -> tuple[str, dict]",95,EXTRACTED,defines
function,forja_document_compare.py,_docx_part_units,"(raw: bytes, part: str) -> tuple[list[Unit], dict]",120,EXTRACTED,defines
function,forja_document_compare.py,extract_docx,(path: Path) -> Extracted,145,EXTRACTED,defines
function,forja_document_compare.py,extract_pdf,"(path: Path, *, allow_ocr: bool = <default>) -> Extracted",184,EXTRACTED,defines
function,forja_document_compare.py,extract_document,"(path: Path, *, allow_ocr: bool = <default>) -> Extracted",253,EXTRACTED,defines
function,forja_document_compare.py,classify_change,"(before: str, after: str) -> tuple[str, str, str, float, list[str]]",272,EXTRACTED,defines
function,forja_document_compare.py,_tokens_with_locators,"(units: list[Unit]) -> tuple[list[str], list[str]]",329,EXTRACTED,defines
function,forja_document_compare.py,_unique_ordered,(values: list[str]) -> list[str],339,EXTRACTED,defines
function,forja_document_compare.py,_change_regions,"(opcodes: list[tuple[str, int, int, int, int]], *, bridge_tokens: int = <default>)",343,EXTRACTED,defines
function,forja_document_compare.py,compare_documents,"(baseline_path: Path, human_path: Path, *, allow_ocr: bool = <default>) -> dict",362,EXTRACTED,defines
function,forja_document_compare.py,render_markdown,"(comparison: dict, *, protocol_status: str, baseline_artifact_id: str, human_artifact_id: str) -> str",507,EXTRACTED,defines
function,forja_document_compare.py,write_comparison,"(baseline_path: Path, human_path: Path, *, json_path: Path, markdown_path: Path, protocol_status: str, baseline_artifact_id: str, human_artifact_id: str, allow_ocr: bool = <default>) -> dict",575,EXTRACTED,defines
function,forja_document_compare.py,main,() -> None,600,EXTRACTED,defines
cli-command,forja_document_compare.py,<global>,"baseline, human, --json, --markdown, --protocol-status, --baseline-artifact-id, --human-artifact-id, --allow-ocr",602,EXTRACTED,accepts_option
function,forja_docx_layout.py,_norm,(value: str | None) -> str,105,EXTRACTED,defines
function,forja_docx_layout.py,_text_sha256,(text: str) -> str,109,EXTRACTED,defines
function,forja_docx_layout.py,docx_content_signature,(path: Path) -> dict,113,EXTRACTED,defines
function,forja_docx_layout.py,compare_docx_content,"(source: Path, output: Path) -> dict",219,EXTRACTED,defines
function,forja_docx_layout.py,_paragraph_text,(paragraph) -> str,238,EXTRACTED,defines
function,forja_docx_layout.py,_unique_header_parts,(document),244,EXTRACTED,defines
function,forja_docx_layout.py,_right_margin_pt,"(section) -> tuple[float | None, bool]",257,EXTRACTED,defines
function,forja_docx_layout.py,_folios_com_margem,(document),288,EXTRACTED,defines
function,forja_docx_layout.py,_folio_rectangles,(document),339,EXTRACTED,defines
function,forja_docx_layout.py,_vml_width_pt,(rect) -> float | None,350,EXTRACTED,defines
function,forja_docx_layout.py,_set_vml_width_pt,"(rect, width_pt: float) -> None",356,EXTRACTED,defines
function,forja_docx_layout.py,_style_chain,(style),372,EXTRACTED,defines
function,forja_docx_layout.py,_effective_alignment,(paragraph) -> int,380,EXTRACTED,defines
function,forja_docx_layout.py,_font_from_rpr,(rpr) -> str | None,390,EXTRACTED,defines
function,forja_docx_layout.py,_size_from_rpr,(rpr) -> float | None,403,EXTRACTED,defines
function,forja_docx_layout.py,_style_font_size,"(style) -> tuple[str | None, float | None]",415,EXTRACTED,defines
function,forja_docx_layout.py,_effective_run_font_size,"(run_element, paragraph) -> tuple[str | None, float | None]",428,EXTRACTED,defines
function,forja_docx_layout.py,_substantial_run_text,(run_element) -> str,436,EXTRACTED,defines
function,forja_docx_layout.py,_has_visual_container,(paragraph) -> bool,444,EXTRACTED,defines
function,forja_docx_layout.py,_is_heading,"(paragraph, text: str) -> bool",457,EXTRACTED,defines
function,forja_docx_layout.py,_is_caption,(text: str) -> bool,471,EXTRACTED,defines
function,forja_docx_layout.py,_is_signature,(text: str) -> bool,475,EXTRACTED,defines
function,forja_docx_layout.py,_e_titulo_centralizado,"(paragraph, text: str) -> bool",521,EXTRACTED,defines
function,forja_docx_layout.py,_role_for,"(paragraph, text: str, index: int, previous_role: str | None) -> str",533,EXTRACTED,defines
function,forja_docx_layout.py,_load_exceptions,"(path: Path | None, docx_sha256: str) -> tuple[dict[int, dict], list[dict]]",588,EXTRACTED,defines
function,forja_docx_layout.py,audit_docx_layout,"(path: Path, *, exceptions: Path | None = <default>) -> dict",621,EXTRACTED,defines
function,forja_docx_layout.py,_set_run_font_size,"(run_element, font_name: str, size_pt: float) -> None",841,EXTRACTED,defines
function,forja_docx_layout.py,normalize_medina_body,"(source: Path, output: Path) -> dict",861,EXTRACTED,defines
function,forja_docx_layout.py,main,() -> int,951,EXTRACTED,defines
cli-command,forja_docx_layout.py,<global>,"docx, --output, --json, --exceptions",953,EXTRACTED,accepts_option
function,forja_editorial.py,_actual_model,"(payload: dict, canonical: str) -> str | None",98,EXTRACTED,defines
function,forja_editorial.py,_recompor_stream,(saida: str) -> dict,108,EXTRACTED,defines
function,forja_editorial.py,_invoke,"(prompt: str, *, alias: str, timeout_s: int = <default>) -> dict",141,EXTRACTED,defines
function,forja_editorial.py,_strip_json_fence,(value: str) -> str,206,EXTRACTED,defines
function,forja_editorial.py,_parse_result,"(result: str) -> tuple[str, dict]",213,EXTRACTED,defines
function,forja_editorial.py,_normalize_anchor,(value: str) -> str,232,EXTRACTED,defines
function,forja_editorial.py,_taste_receipt_findings,"(report: dict, source: str, final: str) -> list[dict]",236,EXTRACTED,defines
function,forja_editorial.py,_gate_is_clear,(path: Path) -> bool,308,EXTRACTED,defines
function,forja_editorial.py,run_editorial_pass,"(source_path: Path, output_dir: Path, *, gate_path: Path, case_id: str, artifact_suffix: str = <default>, editor_model: str | None = <default>, reviewer_model: str | None = <default>, reviewer_session: str | None = <default>, invoke = <default>) -> dict",332,EXTRACTED,defines
function,forja_editorial.py,main,() -> int,517,EXTRACTED,defines
cli-command,forja_editorial.py,<global>,"case, attempt_dir, --source, --f7-gate, --artifact-suffix, --editor-model, --reviewer-model, --reviewer-session",519,EXTRACTED,accepts_option
function,forja_editorial_fidelity.py,_fold,(value: str) -> str,79,EXTRACTED,defines
function,forja_editorial_fidelity.py,_counter,"(pattern: re.Pattern, text: str) -> Counter",84,EXTRACTED,defines
function,forja_editorial_fidelity.py,_is_upper_title,(value: str) -> bool,97,EXTRACTED,defines
function,forja_editorial_fidelity.py,_heading_counter,(text: str) -> Counter,102,EXTRACTED,defines
function,forja_editorial_fidelity.py,_pedidos,(text: str) -> str | None,114,EXTRACTED,defines
function,forja_editorial_fidelity.py,_counter_delta,"(source: Counter, final: Counter) -> dict",127,EXTRACTED,defines
function,forja_editorial_fidelity.py,_authority_semantic_counter,(text: str) -> Counter,133,EXTRACTED,defines
function,forja_editorial_fidelity.py,_finding,"(gate: str, detail: str, **extra) -> dict",149,EXTRACTED,defines
function,forja_editorial_fidelity.py,_family_findings,"(report: dict, strict: bool) -> list[dict]",153,EXTRACTED,defines
function,forja_editorial_fidelity.py,validate_editorial_bundle,"(audited_path: Path, final_path: Path, report_path: Path, usage_path: Path | None = <default>, *, expected_model: str | None = <default>, strict_family: bool = <default>) -> dict",191,EXTRACTED,defines
function,forja_editorial_fidelity.py,main,() -> int,389,EXTRACTED,defines
cli-command,forja_editorial_fidelity.py,<global>,"audited, final, report",391,EXTRACTED,accepts_option
class,forja_editorial_model.py,EditorialModel,(),23,EXTRACTED,defines
method,forja_editorial_model.py,EditorialModel.can_execute,(self) -> bool,31,EXTRACTED,defines
method,forja_editorial_model.py,EditorialModel.cli_model,(self) -> str,35,EXTRACTED,defines
function,forja_editorial_model.py,resolve,(canonical_id: str | None = <default>) -> EditorialModel,68,EXTRACTED,defines
function,forja_editorial_model.py,resolve_executable,(canonical_id: str | None = <default>) -> EditorialModel,80,EXTRACTED,defines
function,forja_editorial_model.py,is_authorized,(canonical_id: str | None) -> bool,91,EXTRACTED,defines
function,forja_editorial_model.py,family_of,(canonical_id: str | None) -> str | None,95,EXTRACTED,defines
function,forja_editorial_model.py,family_assurance,"(producer_id: str | None, reviewer_id: str | None, *, producer_session: str | None = <default>, reviewer_session: str | None = <default>) -> str",100,EXTRACTED,defines
function,forja_editorial_model.py,describe,"(canonical_id: str | None, session_id: str | None = <default>) -> dict",126,EXTRACTED,defines
function,forja_email.py,_servico,(),42,EXTRACTED,defines
function,forja_email.py,_cabecalho,"(msg: dict, nome: str) -> str",64,EXTRACTED,defines
function,forja_email.py,listar,"(svc, limite: int = <default>) -> int",71,EXTRACTED,defines
function,forja_email.py,_registrar,(evento: dict) -> None,87,EXTRACTED,defines
function,forja_email.py,enviar_rascunho,"(svc, draft_id: str, confirmar: bool) -> int",94,EXTRACTED,defines
function,forja_email.py,main,(argv: list[str]) -> int,126,EXTRACTED,defines
cli-command,forja_email.py,<global>,"--listar, --enviar-rascunho, --confirmar",128,EXTRACTED,accepts_option
function,forja_entrega.py,_reconciliacao_em_texto,(texto: str),68,EXTRACTED,defines
function,forja_entrega.py,validar_reconciliacao,"(manifesto, relatorio = <default>)",84,EXTRACTED,defines
function,forja_entrega.py,_entregaveis,(manifesto: dict) -> list,150,EXTRACTED,defines
function,forja_entrega.py,validar_pacote,"(manifesto, email = <default>, base_dir = <default>, artefatos_existentes = <default>)",158,EXTRACTED,defines
function,forja_estilo_humano.py,mandatory_prompt_for_phase,(phase: str) -> str,152,EXTRACTED,defines
function,forja_estilo_humano.py,_sem_acentos,(value: str) -> str,161,EXTRACTED,defines
function,forja_estilo_humano.py,_limpar_markdown,(texto: str) -> str,166,EXTRACTED,defines
function,forja_estilo_humano.py,_limpar_email,(texto: str) -> str,179,EXTRACTED,defines
function,forja_estilo_humano.py,_contexto,"(texto: str, inicio: int, fim: int, alcance: int = <default>) -> str",201,EXTRACTED,defines
function,forja_estilo_humano.py,_achado,"(regra: str, severidade: str, trecho: str, problema: str, acao: str, **extra) -> dict",205,EXTRACTED,defines
function,forja_estilo_humano.py,_paragrafos,(texto: str) -> list[str],218,EXTRACTED,defines
function,forja_estilo_humano.py,_sentencas,(paragrafo: str) -> list[str],232,EXTRACTED,defines
function,forja_estilo_humano.py,_tokens,(texto: str) -> list[str],237,EXTRACTED,defines
function,forja_estilo_humano.py,_cv,(valores: list[int]) -> float,242,EXTRACTED,defines
function,forja_estilo_humano.py,_padroes_fixos,(texto: str) -> list[dict],247,EXTRACTED,defines
function,forja_estilo_humano.py,_conectores,"(texto: str, paragrafos: list[str]) -> list[dict]",273,EXTRACTED,defines
function,forja_estilo_humano.py,_travessoes,(texto: str) -> list[dict],302,EXTRACTED,defines
function,forja_estilo_humano.py,_dogmatismo,"(texto: str, paragrafos: list[str]) -> list[dict]",324,EXTRACTED,defines
function,forja_estilo_humano.py,_redundancia,(paragrafos: list[str]) -> list[dict],348,EXTRACTED,defines
function,forja_estilo_humano.py,_ritmo_robotico,(paragrafos: list[str]) -> list[dict],382,EXTRACTED,defines
function,forja_estilo_humano.py,_simetria,(paragrafos: list[str]) -> list[dict],401,EXTRACTED,defines
function,forja_estilo_humano.py,_conclusao_tautologica,(paragrafos: list[str]) -> list[dict],425,EXTRACTED,defines
function,forja_estilo_humano.py,_email_especifico,"(texto: str, paragrafos: list[str]) -> list[dict]",453,EXTRACTED,defines
function,forja_estilo_humano.py,analisar,"(texto: str, tipo: str = <default>) -> list[dict]",508,EXTRACTED,defines
function,forja_estilo_humano.py,relatorio,"(texto: str, tipo: str = <default>) -> dict",536,EXTRACTED,defines
function,forja_estilo_humano.py,main,() -> int,549,EXTRACTED,defines
cli-command,forja_estilo_humano.py,<global>,"arquivo, --tipo",551,EXTRACTED,accepts_option
function,forja_exploracao_100.py,_selection_rank,(question: dict) -> tuple,82,EXTRACTED,defines
function,forja_exploracao_100.py,selectable_findings,(question: dict) -> list[dict],97,EXTRACTED,defines
function,forja_exploracao_100.py,select_consultation_questions,"(payload: dict) -> tuple[list[str], list[dict]]",152,EXTRACTED,defines
function,forja_exploracao_100.py,validate_dialectic,(payload: dict) -> list[dict],178,EXTRACTED,defines
function,forja_exploracao_100.py,mandatory_prompt_for_phase,(phase: str) -> str,285,EXTRACTED,defines
function,forja_exploracao_100.py,_issue,"(code: str, detail: str, severity: str = <default>) -> dict",429,EXTRACTED,defines
function,forja_exploracao_100.py,_norm,(text: object) -> str,433,EXTRACTED,defines
function,forja_exploracao_100.py,_texto,(value: object) -> str,439,EXTRACTED,defines
function,forja_exploracao_100.py,_placeholder,(text: object) -> bool,449,EXTRACTED,defines
function,forja_exploracao_100.py,build_scaffold,"(case_id: str, case_anchor: str) -> dict",454,EXTRACTED,defines
function,forja_exploracao_100.py,validate_exploration_100,"(payload: dict, *, require_protocol: bool = <default>) -> list[dict]",514,EXTRACTED,defines
function,forja_exploracao_100.py,gates_da_exploracao,"(payload: dict, *, require_protocol: bool = <default>) -> dict",650,EXTRACTED,defines
function,forja_exploracao_100.py,render_consultation,"(payload: dict, *, template: Path | None = <default>) -> str",686,EXTRACTED,defines
function,forja_exploracao_100.py,record_response,"(payload: dict, entry: dict) -> dict",757,EXTRACTED,defines
function,forja_exploracao_100.py,main,() -> int,786,EXTRACTED,defines
cli-command,forja_exploracao_100.py,<global>,,790,EXTRACTED,accepts_option
cli-command,forja_exploracao_100.py,init,"--case-id, --case-anchor, --output",789,EXTRACTED,accepts_option
cli-command,forja_exploracao_100.py,record-response,"path, --response",800,EXTRACTED,accepts_option
cli-command,forja_exploracao_100.py,render-consultation,"path, --output",797,EXTRACTED,accepts_option
cli-command,forja_exploracao_100.py,select-consultation,path,795,EXTRACTED,accepts_option
cli-command,forja_exploracao_100.py,validate,path,793,EXTRACTED,accepts_option
function,forja_f10_contract.py,_pass,(ok: bool) -> str,28,EXTRACTED,defines
function,forja_f10_contract.py,_external_identifier_valid,(evidence: dict) -> bool,32,EXTRACTED,defines
function,forja_f10_contract.py,_management_synced,"(state: dict, *, minimum_event_seq: int) -> bool",46,EXTRACTED,defines
function,forja_f10_contract.py,compute_f10_gates,"(package_manifest: dict, evidence: dict, state: dict, *, minimum_synced_event_seq: int | None = <default>) -> dict[str, str]",55,EXTRACTED,defines
function,forja_f10_contract.py,validate_f10_gates,(gates: dict | None) -> dict,89,EXTRACTED,defines
function,forja_f2_check.py,tribunal_do_cnj,(numero: str) -> str | None,42,EXTRACTED,defines
function,forja_f2_check.py,tribunais_do_texto,(texto: str) -> set[str],59,EXTRACTED,defines
function,forja_f2_check.py,validar_classificacao,"(classificacao: dict, textos_do_caso: str = <default>) -> list[dict]",73,EXTRACTED,defines
function,forja_f2_check.py,main,(argv = <default>) -> int,99,EXTRACTED,defines
function,forja_f8_contract.py,inspect_pdf,"(*args, **kwargs)",22,EXTRACTED,defines
function,forja_f8_contract.py,_validate_static_f8,"(artifact: dict, *, files: dict, release_policy: str) -> dict",29,EXTRACTED,defines
function,forja_f8_contract.py,_svg_lint,(svg) -> str,109,EXTRACTED,defines
function,forja_f8_contract.py,_markdown_lint,(ledger: dict) -> str,160,EXTRACTED,defines
function,forja_f8_contract.py,_gates_do_contrato,"(ledger: dict, layout: dict | None, fidelity: dict | None, findings: list[str], *, release_policy: str) -> dict",181,EXTRACTED,defines
function,forja_f8_contract.py,_validate_legacy_f8,"(artifact: dict, *, files: dict, release_policy: str = <default>) -> dict",252,EXTRACTED,defines
function,forja_f8_contract.py,validate_f8,"(artifact: dict, *, files: dict, release_policy: str = <default>) -> dict",391,EXTRACTED,defines
function,forja_fidelity.py,_norm,(value: str) -> str,33,EXTRACTED,defines
function,forja_fidelity.py,_docx_text,(path: Path) -> str,40,EXTRACTED,defines
function,forja_fidelity.py,_pdf_text,"(path: Path) -> tuple[str, int]",49,EXTRACTED,defines
function,forja_fidelity.py,_segments,(block: dict) -> list[str],56,EXTRACTED,defines
function,forja_fidelity.py,_coverage,"(segments: list[dict], target: str) -> tuple[float, list[dict]]",72,EXTRACTED,defines
function,forja_fidelity.py,_number_tokens,(value: str) -> Counter,100,EXTRACTED,defines
function,forja_fidelity.py,_missing_counter,"(source: Counter, target: Counter) -> list[dict]",123,EXTRACTED,defines
